Row ID,Product ID,Category,Sub-Category,Product Name,,,,,,,,,,,,,,Quantity,Discount,Profit
44,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",,,,,,,,,,,,,,2,0.2,9.5616
45,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,,,,,,,,,,,,,,2,0,19.7714
46,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",,,,,,,,,,,,,,2,0,8.2062
47,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,,,,,,,,,,,,,4,0,8.4784
48,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",,,,,,,,,,,,,,3,0,4.95
49,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",,,,,,,,,,,,,,2,0,6.104
50,OFF-LA-10002762,Office Supplies,Labels,Avery 485,,,,,,,,,,,,,,6,0,17.9634
51,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,,,,,,,,,,,,,,6,0,35.3346
52,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",,,,,,,,,,,,,,2,0,2.9568
53,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,,,,,,,,,,,,,,1,0,17.0981
54,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,,,,,,,,,,,,,,7,0,6.2566
55,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,,,,,,,,,,,,,,5,0,298.6855
56,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,,,,,,,,,,,,,,6,0,52.14
57,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,,,,,,,,,,,,,,5,0,15.552
58,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",,,,,,,,,,,,,,5,0.1,7.098
59,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,,,,,,,,,,,,,,2,0,6.9888
60,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,,,,,,,,,,,,,,2,0,3.3
61,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",,,,,,,,,,,,,,4,0.2,16.362
62,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",,,,,,,,,,,,,,1,0,0.84
63,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,,,,,,,,,,,,,,2,0,6.1512
64,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,,,,,,,,,,,,,,6,0.2,9.3612
65,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",,,,,,,,,,,,,,3,0,68.9631
66,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",,,,,,,,,,,,,,4,0,22.3328
67,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,,,,,,,,,,,,,,5,0.3,-15.2225
68,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",,,,,,,,,,,,,,8,0.2,111.3024
69,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,,,,,,,,,,,,,,4,0.2,62.988
70,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",,,,,,,,,,,,,,2,0,35.6636
71,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,,,,,,,,,,,,,,1,0.2,1.731
72,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",,,,,,,,,,,,,,3,0,8.763
73,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,,,,,,,,,,,,,,8,0.2,-114.3912
74,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,,,,,,,,,,,,,,2,0.2,1.213
75,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",,,,,,,,,,,,,,1,0.2,-18.196
76,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",,,,,,,,,,,,,,3,0.8,-1.9344
77,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",,,,,,,,,,,,,,3,0.6,-5.8248
78,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",,,,,,,,,,,,,,3,0.2,2.724
79,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,,,,,,,,,,,,,,5,0.6,-14.475
80,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",,,,,,,,,,,,,,1,0,56.2032
81,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",,,,,,,,,,,,,,3,0,8.0352
82,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,,,,,,,,,,,,,,5,0,4.172
83,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,,,,,,,,,,,,,,1,0,6.2031
84,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,,,,,,,,,,,,,,7,0.2,62.8075
85,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,,,,,,,,,,,,,,3,0.2,-48.9549
86,OFF-LA-10000134,Office Supplies,Labels,Avery 511,,,,,,,,,,,,,,2,0,33.2156
87,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,,,,,,,,,,,,,,1,0,6.7966
88,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,,,,,,,,,,,,,,2,0,2.9568
89,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,,,,,,,,,,,,,,7,0.2,13.8572
90,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,,,,,,,,,,,,,,3,0,6.633
91,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",,,,,,,,,,,,,,2,0.2,8.2782
92,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,,,,,,,,,,,,,,1,0,3.1104
93,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,,,,,,,,,,,,,,2,0,6.2208
94,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,,,,,,,,,,,,,,3,0,16.5354
95,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,,,,,,,,,,,,,,2,0,16.1504
96,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,,,,,,,,,,,,,,1,0.7,-3.788
97,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,,,,,,,,,,,,,,7,0,40.5426
98,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,,,,,,,,,,,,,,3,0.2,17.9592
99,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,,,,,,,,,,,,,,6,0,22.5852
100,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),,,,,,,,,,,,,,7,0.2,22.6184
101,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,,,,,,,,,,,,,,3,0.2,-10.7973
102,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",,,,,,,,,,,,,,3,0.8,-3.0396
103,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",,,,,,,,,,,,,,4,0,11.7208
104,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,,,,,,,,,,,,,,6,0.2,-26.8758
105,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,,,,,,,,,,,,,,3,0.2,-3.8385
106,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,,,,,,,,,,,,,,3,0.7,-25.8174
107,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,,,,,,,,,,,,,,8,0.2,17.6016
108,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,,,,,,,,,,,,,,1,0.2,2.0994
109,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",,,,,,,,,,,,,,1,0.2,1.0738
110,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",,,,,,,,,,,,,,5,0.2,67.992
111,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",,,,,,,,,,,,,,2,0,10.9096
112,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",,,,,,,,,,,,,,2,0,22.788
113,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,,,,,,,,,,,,,,6,0,13.3476
114,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",,,,,,,,,,,,,,14,0.2,14.5348
115,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,,,,,,,,,,,,,,2,0.2,1.652
116,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,,,,,,,,,,,,,,3,0.2,7.4925
117,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,,,,,,,,,,,,,,6,0.2,44.0316
118,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",,,,,,,,,,,,,,3,0,165.3813
119,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,,,,,,,,,,,,,,1,0.7,-115.7156
120,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,,,,,,,,,,,,,,3,0,18.3456
121,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,,,,,,,,,,,,,,4,0,13.878
122,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,,,,,,,,,,,,,,6,0,63.4368
123,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",,,,,,,,,,,,,,9,0,51.759
124,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",,,,,,,,,,,,,,7,0,19.7316
125,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,,,,,,,,,,,,,,3,0.3,-8.5794
126,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,,,,,,,,,,,,,,6,0.5,-407.682
127,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,,,,,,,,,,,,,,2,0.7,-1.8308
128,OFF-FA-10002780,Office Supplies,Fasteners,Staples,,,,,,,,,,,,,,7,0.2,30.499
129,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,,,,,,,,,,,,,,2,0.2,-9.1602
130,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,,,,,,,,,,,,,,3,0,26.2416
131,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",,,,,,,,,,,,,,5,0.4,-11.994
132,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,,,,,,,,,,,,,,2,0.2,29.364
133,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,,,,,,,,,,,,,,9,0.2,6.9732
134,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,,,,,,,,,,,,,,3,0,9.6192
135,OFF-AR-10000940,Office Supplies,Art,Newell 343,,,,,,,,,,,,,,1,0,16.6568
136,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,,,,,,,,,,,,,,4,0,3.456
137,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,,,,,,,,,,,,,,2,0,1.9698
138,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,,,,,,,,,,,,,,3,0.2,26.6616
139,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",,,,,,,,,,,,,,6,0,18.4464
140,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,,,,,,,,,,,,,,14,0,20.6976
141,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,,,,,,,,,,,,,,2,0.2,10.35
142,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,,,,,,,,,,,,,,3,0,2.3814
143,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,,,,,,,,,,,,,,3,0,5.1042
144,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,,,,,,,,,,,,,,3,0,68.976
145,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,,,,,,,,,,,,,,3,0,218.2518
146,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,,,,,,,,,,,,,,7,0,20.1579
147,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",,,,,,,,,,,,,,4,0.2,12.9096
148,OFF-AR-10001547,Office Supplies,Art,Newell 311,,,,,,,,,,,,,,11,0,103.8015
149,OFF-LA-10002475,Office Supplies,Labels,Avery 519,,,,,,,,,,,,,,3,0,5.9988
150,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,,,,,,,,,,,,,,8,0,585.552
151,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,,,,,,,,,,,,,,5,0,80.6285
152,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,,,,,,,,,,,,,,5,0.2,17.766
153,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,,,,,,,,,,,,,,2,0.2,15.2388
154,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,,,,,,,,,,,,,,7,0,26.271
155,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,,,,,,,,,,,,,,4,0,48.5392
156,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,,,,,,,,,,,,,,6,0,21.0288
157,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,,,,,,,,,,,,,,3,0,1.7901
158,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,,,,,,,,,,,,,,2,0.2,51.4764
159,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,,,,,,,,,,,,,,2,0,6.8714
160,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,,,,,,,,,,,,,,7,0,236.2325
161,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,,,,,,,,,,,,,,1,0,2.691
162,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",,,,,,,,,,,,,,2,0.2,1.3596
163,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,,,,,,,,,,,,,,5,0,13.348
164,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",,,,,,,,,,,,,,2,0.2,9.688
165,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,,,,,,,,,,,,,,3,0.2,2.7324
166,OFF-LA-10003148,Office Supplies,Labels,Avery 51,,,,,,,,,,,,,,8,0.4,-1359.992
167,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",,,,,,,,,,,,,,3,0.2,-58.6347
168,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",,,,,,,,,,,,,,9,0.3,-24.858
169,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,,,,,,,,,,,,,,6,0.2,6.8136
170,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",,,,,,,,,,,,,,5,0.8,-453.849
171,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",,,,,,,,,,,,,,3,0.2,8.9985
172,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,,,,,,,,,,,,,,3,0,9.8418
173,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,,,,,,,,,,,,,,2,0,53.2608
174,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),,,,,,,,,,,,,,7,0.2,21.259
175,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,,,,,,,,,,,,,,2,0.8,-131.12
176,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,,,,,,,,,,,,,,4,0.2,6.552
177,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,,,,,,,,,,,,,,4,0.8,-243.16
178,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",,,,,,,,,,,,,,7,0.3,-11.3372
179,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",,,,,,,,,,,,,,5,0.2,-3.7715
180,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,,,,,,,,,,,,,,1,0,1.4104
181,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,,,,,,,,,,,,,,2,0.2,1.8612
182,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,,,,,,,,,,,,,,7,0.2,76.6395
183,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",,,,,,,,,,,,,,4,0,131.0296
184,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",,,,,,,,,,,,,,5,0,41.986
185,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,,,,,,,,,,,,,,2,0,7.25
186,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",,,,,,,,,,,,,,2,0,3.4368
187,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",,,,,,,,,,,,,,8,0,22.984
188,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,,,,,,,,,,,,,,3,0.2,3.7224
189,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,,,,,,,,,,,,,,3,0.2,6.255
190,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",,,,,,,,,,,,,,4,0.2,112.392
191,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,,,,,,,,,,,,,,6,0,20.0928
192,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",,,,,,,,,,,,,,8,0,24.8832
193,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,,,,,,,,,,,,,,3,0.2,46.9764
194,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",,,,,,,,,,,,,,5,0,6.567
195,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,,,,,,,,,,,,,,7,0,6.7116
196,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",,,,,,,,,,,,,,2,0.2,1.2038
197,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",,,,,,,,,,,,,,3,0.2,1.5876
198,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,,,,,,,,,,,,,,3,0,12.0276
199,OFF-LA-10004544,Office Supplies,Labels,Avery 505,,,,,,,,,,,,,,2,0.7,-2.2586
200,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,,,,,,,,,,,,,,3,0.2,5.8203
201,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,,,,,,,,,,,,,,3,0.2,6.795
